Complexity,Loss,Equation
1,780.955,"-23.530516"
4,777.0081,"sin(x1) + -23.567753"
5,8.701544,"x5 * (x5 * -1.0570904)"
7,2.3806355,"(x5 * (x5 * -1.00369)) + -3.115218"
9,2.3797688,"(((x5 * -1.0037532) + 0.0065517034) * x5) + -3.1121888"
11,2.3535287,"((x5 * (x5 * -1.0033585)) + (x3 * 0.034066815)) + -3.1209779"
12,2.3096426,"(((x5 * -0.9161382) + sin(x5 * -0.10782287)) * x5) + -2.9387488"
14,2.3090937,"((((x5 * -0.91614467) + 0.0052782693) + sin(x5 * -0.10808172)) * x5) + -2.9340885"
15,2.2875686,"(((sin(exp(x0)) * 0.12847501) + ((x5 + x5) * -0.50202304)) * x5) + -3.1269596"
18,2.2203557,"(sin(sin(x4) * ((x3 * -0.0776352) + cos(x4))) + -3.1588583) + ((x5 * -1.0027198) * x5)"
